model,fnat,lrmsd,irmsd,dockQ
complex.1_5_17_corrected_H_0001_T41,0.175,9.782,2.608,0.285
complex.1_5_25_corrected_H_0001_T41,0.246,12.485,3.013,0.254
complex.1_5_43_corrected_H_0001_T41,0.193,9.835,5.037,0.234
complex.1_6_0_corrected_H_0001_T41,0.175,7.48,3.785,0.292
complex.1_6_14_corrected_H_0001_T41,0.281,8.531,4.776,0.29
complex.1_6_2_corrected_H_0001_T41,0.263,7.565,3.385,0.328
complex.1_6_42_corrected_H_0001_T41,0.281,15.406,3.69,0.219
complex.1_6_45_corrected_H_0001_T41,0.333,8.052,3.066,0.351
complex.1_7_16_corrected_H_0001_T41,0.281,7.866,3.459,0.326
complex.1_7_17_corrected_H_0001_T41,0.368,8.594,3.234,0.347
complex.1_7_23_corrected_H_0001_T41,0.228,8.71,3.235,0.298
complex.1_7_28_corrected_H_0001_T41,0.421,11.136,3.351,0.319
complex.1_7_36_corrected_H_0001_T41,0.281,6.934,3.688,0.341
complex.1_7_38_corrected_H_0001_T41,0.316,7.173,2.441,0.391
complex.1_7_42_corrected_H_0001_T41,0.316,8.026,3.699,0.329
complex.1_8_0_corrected_H_0001_T41,0.509,9.325,2.687,0.4
complex.1_8_14_corrected_H_0001_T41,0.439,7.464,2.773,0.41
complex.1_8_23_corrected_H_0001_T41,0.333,7.482,3.093,0.362
complex.1_8_24_corrected_H_0001_T41,0.368,6.157,2.326,0.439
complex.1_8_39_corrected_H_0001_T41,0.456,7.722,2.454,0.425
complex.1_8_6_corrected_H_0001_T41,0.351,5.391,2.699,0.433
complex.1_8_7_corrected_H_0001_T41,0.351,4.277,2.186,0.49
complex.1_9_10_corrected_H_0001_T41,0.491,9.088,2.578,0.404
complex.1_9_15_corrected_H_0001_T41,0.404,8.079,2.249,0.412
complex.1_9_1_corrected_H_0001_T41,0.526,8.854,2.317,0.434
complex.1_9_29_corrected_H_0001_T41,0.368,4.477,2.56,0.469
complex.1_9_42_corrected_H_0001_T41,0.456,5.531,2.526,0.473
complex.1_9_45_corrected_H_0001_T41,0.456,5.899,2.54,0.463
complex.1_9_48_corrected_H_0001_T41,0.509,8.751,2.553,0.417
complex.2_0_11_corrected_H_0001_T41,0.0,60.541,15.474,0.01
complex.2_10_13_corrected_H_0001_T41,0.596,6.216,1.633,0.569
complex.2_10_1_corrected_H_0001_T41,0.491,7.146,2.321,0.457
complex.2_10_21_corrected_H_0001_T41,0.579,7.576,2.083,0.493
complex.2_10_37_corrected_H_0001_T41,0.404,5.625,2.285,0.467
complex.2_10_42_corrected_H_0001_T41,0.456,6.44,1.925,0.49
complex.2_11_11_corrected_H_0001_T41,0.912,2.453,0.761,0.877
complex.2_11_24_corrected_H_0001_T41,0.737,3.175,1.285,0.73
complex.2_11_26_corrected_H_0001_T41,0.842,3.317,0.909,0.814
complex.2_11_3_corrected_H_0001_T41,0.596,3.396,1.517,0.651
complex.2_11_41_corrected_H_0001_T41,0.526,4.108,1.792,0.583
complex.2_11_46_corrected_H_0001_T41,0.684,6.064,1.781,0.587
complex.2_11_4_corrected_H_0001_T41,0.596,5.613,1.601,0.587
complex.2_12_14_corrected_H_0001_T41,0.404,5.173,1.957,0.501
complex.2_12_1_corrected_H_0001_T41,0.649,4.341,1.497,0.648
complex.2_12_32_corrected_H_0001_T41,0.947,1.765,0.695,0.91
complex.2_12_35_corrected_H_0001_T41,0.93,1.341,0.857,0.886
complex.2_12_41_corrected_H_0001_T41,0.772,4.868,1.278,0.701
complex.2_12_45_corrected_H_0001_T41,0.649,4.054,1.339,0.673
complex.2_12_4_corrected_H_0001_T41,0.596,2.377,0.888,0.755
complex.2_13_11_corrected_H_0001_T41,0.772,2.687,0.984,0.793
complex.2_13_16_corrected_H_0001_T41,0.737,2.739,1.068,0.769
complex.2_13_22_corrected_H_0001_T41,0.895,1.953,0.767,0.879
complex.2_13_25_corrected_H_0001_T41,0.93,2.108,1.047,0.848
complex.2_13_49_corrected_H_0001_T41,0.649,5.008,1.447,0.636
complex.2_13_6_corrected_H_0001_T41,0.895,2.238,0.893,0.856
complex.2_14_0_corrected_H_0001_T41,0.912,2.57,0.844,0.863
complex.2_14_18_corrected_H_0001_T41,0.895,3.45,1.03,0.811
complex.2_14_22_corrected_H_0001_T41,0.737,2.43,0.975,0.788
complex.2_14_23_corrected_H_0001_T41,0.561,3.19,1.066,0.701
complex.2_14_43_corrected_H_0001_T41,0.912,1.932,0.79,0.882
complex.2_14_7_corrected_H_0001_T41,0.877,1.751,0.941,0.851
complex.2_15_16_corrected_H_0001_T41,0.789,4.31,1.246,0.726
complex.2_15_29_corrected_H_0001_T41,0.895,2.517,1.055,0.828
complex.2_15_40_corrected_H_0001_T41,0.965,1.688,0.761,0.907
complex.2_15_44_corrected_H_0001_T41,0.947,0.681,0.483,0.949
complex.2_15_45_corrected_H_0001_T41,0.895,1.556,0.64,0.903
complex.2_16_12_corrected_H_0001_T41,0.825,1.175,0.592,0.89
complex.2_16_5_corrected_H_0001_T41,0.895,1.809,0.643,0.899
complex.2_16_9_corrected_H_0001_T41,0.877,3.101,0.971,0.821
complex.2_17_0_corrected_H_0001_T41,0.614,1.394,0.649,0.81
complex.2_17_24_corrected_H_0001_T41,0.965,1.601,0.63,0.927
complex.2_17_29_corrected_H_0001_T41,0.719,0.71,0.513,0.869
complex.2_17_30_corrected_H_0001_T41,0.93,2.54,0.761,0.881
complex.2_17_31_corrected_H_0001_T41,0.965,1.554,0.623,0.928
complex.2_18_27_corrected_H_0001_T41,0.947,0.689,0.501,0.947
complex.2_18_30_corrected_H_0001_T41,0.93,1.667,0.731,0.9
complex.2_18_48_corrected_H_0001_T41,0.982,1.523,0.673,0.928
complex.2_18_49_corrected_H_0001_T41,0.912,1.872,0.81,0.88
complex.2_18_4_corrected_H_0001_T41,0.947,1.903,0.812,0.891
complex.2_19_4_corrected_H_0001_T41,0.965,1.101,0.487,0.951
complex.2_1_10_corrected_H_0001_T41,0.088,21.031,13.098,0.08
complex.2_1_34_corrected_H_0001_T41,0.018,21.077,12.48,0.057
complex.2_1_35_corrected_H_0001_T41,0.053,25.422,14.071,0.055
complex.2_1_36_corrected_H_0001_T41,0.07,21.123,11.708,0.075
complex.2_1_39_corrected_H_0001_T41,0.018,26.472,9.458,0.045
complex.2_1_41_corrected_H_0001_T41,0.07,32.727,9.709,0.052
complex.2_1_48_corrected_H_0001_T41,0.018,22.51,13.435,0.052
complex.2_2_19_corrected_H_0001_T41,0.053,17.283,7.319,0.096
complex.2_2_1_corrected_H_0001_T41,0.105,22.289,6.93,0.092
complex.2_2_21_corrected_H_0001_T41,0.088,17.651,5.244,0.117
complex.2_2_46_corrected_H_0001_T41,0.105,20.904,9.801,0.09
complex.2_2_47_corrected_H_0001_T41,0.088,18.371,8.994,0.097
complex.2_3_0_corrected_H_0001_T41,0.053,18.024,5.45,0.102
complex.2_3_10_corrected_H_0001_T41,0.14,16.498,4.762,0.147
complex.2_3_12_corrected_H_0001_T41,0.0,11.745,5.598,0.137
complex.2_3_19_corrected_H_0001_T41,0.105,15.797,6.032,0.129
complex.2_3_25_corrected_H_0001_T41,0.053,14.747,4.948,0.129
complex.2_3_27_corrected_H_0001_T41,0.035,9.345,5.413,0.186
complex.2_3_2_corrected_H_0001_T41,0.175,17.588,4.591,0.154
complex.2_3_33_corrected_H_0001_T41,0.035,10.463,5.57,0.167
complex.2_4_27_corrected_H_0001_T41,0.228,7.888,4.443,0.289
complex.2_4_30_corrected_H_0001_T41,0.14,10.304,5.244,0.207
complex.2_5_13_corrected_H_0001_T41,0.351,12.28,3.533,0.276
complex.2_5_18_corrected_H_0001_T41,0.193,12.988,3.286,0.222
complex.2_5_37_corrected_H_0001_T41,0.281,8.513,3.423,0.314
complex.2_5_4_corrected_H_0001_T41,0.123,8.482,4.244,0.245
complex.2_5_5_corrected_H_0001_T41,0.228,9.536,4.0,0.265
complex.2_6_15_corrected_H_0001_T41,0.246,9.928,3.618,0.272
complex.2_6_18_corrected_H_0001_T41,0.281,8.477,3.692,0.308
complex.2_6_30_corrected_H_0001_T41,0.316,7.168,3.412,0.354
complex.2_7_32_corrected_H_0001_T41,0.386,5.588,2.91,0.431
complex.2_7_33_corrected_H_0001_T41,0.175,9.46,3.029,0.273
complex.2_7_9_corrected_H_0001_T41,0.421,7.861,3.428,0.374
complex.2_8_11_corrected_H_0001_T41,0.439,5.823,2.36,0.469
complex.2_8_13_corrected_H_0001_T41,0.368,6.579,1.873,0.461
complex.2_8_31_corrected_H_0001_T41,0.351,7.72,2.1,0.412
complex.2_8_36_corrected_H_0001_T41,0.491,2.88,1.424,0.638
complex.2_8_38_corrected_H_0001_T41,0.193,6.269,2.906,0.35
complex.2_8_3_corrected_H_0001_T41,0.316,7.194,2.614,0.382
complex.2_8_43_corrected_H_0001_T41,0.351,8.56,3.266,0.34
complex.2_9_25_corrected_H_0001_T41,0.386,5.635,2.125,0.471
complex.2_9_41_corrected_H_0001_T41,0.579,6.482,1.678,0.552
complex.3_0_22_corrected_H_0001_T41,0.0,30.071,12.972,0.029
complex.3_0_24_corrected_H_0001_T41,0.0,61.017,16.532,0.009
complex.3_0_44_corrected_H_0001_T41,0.0,26.334,8.337,0.042
complex.3_0_48_corrected_H_0001_T41,0.0,26.199,12.349,0.037
complex.3_0_49_corrected_H_0001_T41,0.035,26.506,11.554,0.048
complex.3_10_11_corrected_H_0001_T41,0.789,3.77,1.02,0.77
complex.3_10_14_corrected_H_0001_T41,0.526,5.946,1.653,0.55
complex.3_10_15_corrected_H_0001_T41,0.351,7.072,2.681,0.393
complex.3_10_3_corrected_H_0001_T41,0.579,6.747,1.783,0.536
complex.3_10_49_corrected_H_0001_T41,0.544,7.995,2.173,0.466
complex.3_11_14_corrected_H_0001_T41,0.772,4.516,1.338,0.703
complex.3_11_15_corrected_H_0001_T41,0.526,6.489,1.726,0.529
complex.3_11_30_corrected_H_0001_T41,0.298,7.016,1.969,0.42
complex.3_11_45_corrected_H_0001_T41,0.439,5.055,1.916,0.519
complex.3_11_9_corrected_H_0001_T41,0.667,4.484,1.357,0.666
complex.3_12_10_corrected_H_0001_T41,0.596,2.314,1.13,0.722
complex.3_12_20_corrected_H_0001_T41,0.667,4.866,1.664,0.623
complex.3_12_34_corrected_H_0001_T41,0.596,4.164,1.304,0.657
complex.3_12_38_corrected_H_0001_T41,0.579,3.455,1.526,0.643
complex.3_12_44_corrected_H_0001_T41,0.86,0.944,0.517,0.914
complex.3_13_14_corrected_H_0001_T41,0.895,1.831,0.766,0.881
complex.3_13_26_corrected_H_0001_T41,0.544,4.937,1.306,0.62
complex.3_13_31_corrected_H_0001_T41,1.0,1.348,0.443,0.965
complex.3_13_32_corrected_H_0001_T41,0.93,1.877,0.522,0.925
complex.3_13_36_corrected_H_0001_T41,0.93,1.9,0.677,0.904
complex.3_13_3_corrected_H_0001_T41,0.474,2.544,1.38,0.644
complex.3_14_17_corrected_H_0001_T41,0.895,1.598,0.695,0.895
complex.3_14_1_corrected_H_0001_T41,0.947,2.57,0.782,0.883
complex.3_14_28_corrected_H_0001_T41,0.86,2.68,0.868,0.839
complex.3_14_44_corrected_H_0001_T41,0.877,2.027,0.689,0.883
complex.3_15_18_corrected_H_0001_T41,0.842,3.23,1.022,0.8
complex.3_15_21_corrected_H_0001_T41,0.912,2.25,0.871,0.865
complex.3_15_23_corrected_H_0001_T41,0.632,2.456,1.099,0.735
complex.3_15_7_corrected_H_0001_T41,0.877,0.646,0.48,0.926
complex.3_16_11_corrected_H_0001_T41,0.702,2.572,0.843,0.793
complex.3_16_21_corrected_H_0001_T41,0.912,1.966,1.021,0.848
complex.3_16_26_corrected_H_0001_T41,0.86,3.177,0.893,0.825
complex.3_16_2_corrected_H_0001_T41,0.947,0.742,0.46,0.951
complex.3_16_40_corrected_H_0001_T41,0.544,2.2,0.983,0.727
complex.3_17_23_corrected_H_0001_T41,0.684,1.172,0.803,0.814
complex.3_17_34_corrected_H_0001_T41,0.93,1.4,0.552,0.928
complex.3_17_44_corrected_H_0001_T41,0.912,1.023,0.559,0.925
complex.3_17_45_corrected_H_0001_T41,0.965,2.473,0.754,0.895
complex.3_17_4_corrected_H_0001_T41,0.912,0.965,0.583,0.923
complex.3_17_7_corrected_H_0001_T41,0.912,0.985,0.588,0.922
complex.3_18_0_corrected_H_0001_T41,0.702,2.416,0.795,0.803
complex.3_18_10_corrected_H_0001_T41,0.86,2.133,0.614,0.886
complex.3_18_32_corrected_H_0001_T41,0.93,0.697,0.503,0.941
complex.3_19_2_corrected_H_0001_T41,0.982,0.505,0.421,0.969
complex.3_19_5_corrected_H_0001_T41,0.947,1.153,0.621,0.928
complex.3_1_11_corrected_H_0001_T41,0.0,18.456,7.079,0.073
complex.3_1_14_corrected_H_0001_T41,0.07,26.624,13.444,0.058
complex.3_1_16_corrected_H_0001_T41,0.0,20.024,9.511,0.059
complex.3_1_22_corrected_H_0001_T41,0.018,24.263,13.012,0.047
complex.3_1_26_corrected_H_0001_T41,0.018,29.835,9.609,0.039
complex.3_1_28_corrected_H_0001_T41,0.07,30.963,9.311,0.055
complex.3_1_33_corrected_H_0001_T41,0.053,23.333,8.313,0.067
complex.3_1_9_corrected_H_0001_T41,0.0,19.944,10.556,0.058
complex.3_2_16_corrected_H_0001_T41,0.105,14.606,4.76,0.15
complex.3_2_28_corrected_H_0001_T41,0.088,18.859,11.883,0.091
complex.3_2_36_corrected_H_0001_T41,0.14,20.198,7.924,0.108
complex.3_2_37_corrected_H_0001_T41,0.105,17.058,9.502,0.109
complex.3_2_40_corrected_H_0001_T41,0.07,20.06,5.99,0.094
complex.3_2_9_corrected_H_0001_T41,0.088,19.602,6.132,0.101
complex.3_3_14_corrected_H_0001_T41,0.123,13.522,5.645,0.157
complex.3_3_1_corrected_H_0001_T41,0.14,12.647,6.438,0.168
complex.3_3_20_corrected_H_0001_T41,0.14,10.733,5.908,0.195
complex.3_3_24_corrected_H_0001_T41,0.088,10.484,5.923,0.182
complex.3_3_42_corrected_H_0001_T41,0.175,14.416,5.666,0.166
complex.3_3_45_corrected_H_0001_T41,0.123,11.742,4.559,0.188
complex.3_3_6_corrected_H_0001_T41,0.333,12.957,3.119,0.274
complex.3_4_16_corrected_H_0001_T41,0.175,11.916,3.004,0.237
complex.3_4_40_corrected_H_0001_T41,0.298,14.039,3.292,0.246
complex.3_4_46_corrected_H_0001_T41,0.246,14.748,5.496,0.188
complex.3_4_5_corrected_H_0001_T41,0.07,9.049,4.994,0.207
complex.3_4_9_corrected_H_0001_T41,0.158,8.508,4.891,0.248
complex.3_5_19_corrected_H_0001_T41,0.211,8.74,3.889,0.275
complex.3_5_22_corrected_H_0001_T41,0.281,10.581,4.742,0.255
complex.3_5_31_corrected_H_0001_T41,0.14,8.724,4.253,0.246
complex.3_5_35_corrected_H_0001_T41,0.246,8.304,2.904,0.323
complex.3_5_38_corrected_H_0001_T41,0.316,9.915,4.38,0.281
complex.3_5_45_corrected_H_0001_T41,0.14,9.039,4.435,0.237
complex.3_5_46_corrected_H_0001_T41,0.351,11.133,4.08,0.279
complex.3_5_8_corrected_H_0001_T41,0.316,9.226,3.725,0.305
complex.3_6_13_corrected_H_0001_T41,0.193,9.039,3.53,0.272
complex.3_6_29_corrected_H_0001_T41,0.158,9.966,2.893,0.264
complex.3_6_36_corrected_H_0001_T41,0.316,6.86,3.07,0.371
complex.3_6_7_corrected_H_0001_T41,0.263,11.852,2.923,0.27
complex.3_7_22_corrected_H_0001_T41,0.351,11.118,2.629,0.322
complex.3_7_24_corrected_H_0001_T41,0.193,10.0,4.21,0.242
complex.3_7_25_corrected_H_0001_T41,0.228,6.058,3.64,0.345
complex.3_7_26_corrected_H_0001_T41,0.246,8.025,3.141,0.32
complex.3_7_2_corrected_H_0001_T41,0.316,6.748,3.15,0.371
complex.3_7_40_corrected_H_0001_T41,0.175,6.284,3.162,0.335
complex.3_7_45_corrected_H_0001_T41,0.579,8.726,2.352,0.452
complex.3_8_19_corrected_H_0001_T41,0.351,6.048,2.823,0.412
complex.3_8_1_corrected_H_0001_T41,0.368,5.944,2.362,0.442
complex.3_8_20_corrected_H_0001_T41,0.263,6.787,3.048,0.356
complex.3_8_27_corrected_H_0001_T41,0.439,6.54,2.987,0.423
complex.3_8_35_corrected_H_0001_T41,0.333,7.324,2.974,0.37
complex.3_8_37_corrected_H_0001_T41,0.491,5.826,2.164,0.499
complex.3_9_31_corrected_H_0001_T41,0.509,5.405,2.2,0.513
complex.3_9_44_corrected_H_0001_T41,0.544,8.488,2.091,0.461
complex.4_0_0_corrected_H_0001_T41,0.0,21.839,12.88,0.048
complex.4_0_12_corrected_H_0001_T41,0.0,56.713,15.192,0.011
complex.4_0_29_corrected_H_0001_T41,0.0,45.009,10.72,0.018
complex.4_0_35_corrected_H_0001_T41,0.0,30.426,9.05,0.033
complex.4_0_41_corrected_H_0001_T41,0.0,30.828,11.242,0.029
complex.4_0_5_corrected_H_0001_T41,0.0,36.423,10.247,0.024
complex.4_10_25_corrected_H_0001_T41,0.491,4.021,2.109,0.548
complex.4_10_28_corrected_H_0001_T41,0.561,2.846,1.314,0.675
complex.4_10_31_corrected_H_0001_T41,0.509,4.133,1.502,0.606
complex.4_10_32_corrected_H_0001_T41,0.544,4.425,1.628,0.597
complex.4_10_36_corrected_H_0001_T41,0.667,7.03,1.819,0.555
complex.4_10_4_corrected_H_0001_T41,0.596,5.698,1.671,0.578
complex.4_10_8_corrected_H_0001_T41,0.298,4.837,2.267,0.453
complex.4_11_13_corrected_H_0001_T41,0.404,4.492,2.181,0.502
complex.4_11_22_corrected_H_0001_T41,0.632,5.432,1.451,0.619
complex.4_11_32_corrected_H_0001_T41,0.667,3.7,1.593,0.659
complex.4_11_34_corrected_H_0001_T41,0.632,6.542,1.843,0.553
complex.4_11_35_corrected_H_0001_T41,0.509,5.922,1.711,0.539
complex.4_11_48_corrected_H_0001_T41,0.439,3.925,1.537,0.584
complex.4_11_5_corrected_H_0001_T41,0.509,3.836,2.06,0.562
complex.4_12_0_corrected_H_0001_T41,0.754,3.452,1.263,0.733
complex.4_12_16_corrected_H_0001_T41,0.509,3.451,1.357,0.639
complex.4_12_29_corrected_H_0001_T41,0.877,3.012,1.255,0.785
complex.4_12_33_corrected_H_0001_T41,0.842,4.284,1.308,0.736
complex.4_13_0_corrected_H_0001_T41,0.667,3.684,1.036,0.729
complex.4_13_23_corrected_H_0001_T41,0.895,1.545,0.819,0.878
complex.4_13_27_corrected_H_0001_T41,0.93,2.052,1.095,0.842
complex.4_13_44_corrected_H_0001_T41,0.912,2.406,1.144,0.823
complex.4_14_10_corrected_H_0001_T41,0.842,2.093,1.028,0.822
complex.4_14_11_corrected_H_0001_T41,0.737,4.025,1.129,0.731
complex.4_14_13_corrected_H_0001_T41,0.807,1.462,0.781,0.855
complex.4_14_14_corrected_H_0001_T41,0.754,1.176,0.562,0.871
complex.4_14_15_corrected_H_0001_T41,0.947,2.729,0.926,0.859
complex.4_14_20_corrected_H_0001_T41,0.912,2.233,0.966,0.852
complex.4_14_31_corrected_H_0001_T41,0.737,1.812,1.08,0.784
complex.4_14_35_corrected_H_0001_T41,0.895,2.688,1.047,0.825
complex.4_14_37_corrected_H_0001_T41,0.825,3.906,1.02,0.778
complex.4_14_46_corrected_H_0001_T41,0.93,1.745,0.789,0.891
complex.4_15_0_corrected_H_0001_T41,0.737,1.437,0.706,0.843
complex.4_15_11_corrected_H_0001_T41,0.877,2.239,0.716,0.876
complex.4_15_19_corrected_H_0001_T41,0.509,2.997,1.149,0.676
complex.4_15_2_corrected_H_0001_T41,0.877,2.811,0.874,0.842
complex.4_15_42_corrected_H_0001_T41,0.947,0.651,0.501,0.947
complex.4_16_10_corrected_H_0001_T41,0.912,2.862,0.862,0.854
complex.4_16_14_corrected_H_0001_T41,0.789,1.29,0.674,0.866
complex.4_16_15_corrected_H_0001_T41,0.895,2.237,0.969,0.845
complex.4_16_1_corrected_H_0001_T41,0.684,1.65,0.801,0.809
complex.4_16_36_corrected_H_0001_T41,0.912,0.627,0.512,0.934
complex.4_16_39_corrected_H_0001_T41,0.807,1.351,0.58,0.884
complex.4_16_42_corrected_H_0001_T41,0.947,1.597,0.682,0.914
complex.4_16_4_corrected_H_0001_T41,0.912,1.314,0.813,0.887
complex.4_16_7_corrected_H_0001_T41,0.982,1.942,0.7,0.918
complex.4_17_11_corrected_H_0001_T41,0.912,2.315,0.808,0.873
complex.4_17_25_corrected_H_0001_T41,0.912,2.363,0.72,0.884
complex.4_17_38_corrected_H_0001_T41,0.877,0.791,0.526,0.92
complex.4_17_43_corrected_H_0001_T41,0.667,1.626,0.847,0.796
complex.4_17_6_corrected_H_0001_T41,0.947,0.874,0.471,0.949
complex.4_18_16_corrected_H_0001_T41,0.965,1.118,0.643,0.931
complex.4_18_1_corrected_H_0001_T41,0.86,0.764,0.478,0.92
complex.4_18_29_corrected_H_0001_T41,0.947,1.227,0.479,0.945
complex.4_18_43_corrected_H_0001_T41,0.965,1.008,0.527,0.947
complex.4_18_9_corrected_H_0001_T41,0.877,0.829,0.51,0.921
complex.4_1_19_corrected_H_0001_T41,0.0,21.002,12.164,0.052
complex.4_1_2_corrected_H_0001_T41,0.035,23.484,12.603,0.055
complex.4_1_30_corrected_H_0001_T41,0.0,25.05,9.877,0.042
complex.4_1_31_corrected_H_0001_T41,0.088,19.701,11.835,0.087
complex.4_2_39_corrected_H_0001_T41,0.193,25.164,7.419,0.112
complex.4_2_3_corrected_H_0001_T41,0.105,15.676,6.907,0.126
complex.4_2_49_corrected_H_0001_T41,0.123,22.685,8.967,0.091
complex.4_3_21_corrected_H_0001_T41,0.053,15.274,7.07,0.111
complex.4_3_26_corrected_H_0001_T41,0.14,12.05,6.269,0.176
complex.4_3_28_corrected_H_0001_T41,0.035,10.367,5.477,0.169
complex.4_3_31_corrected_H_0001_T41,0.228,16.146,4.463,0.182
complex.4_3_34_corrected_H_0001_T41,0.193,18.568,4.727,0.153
complex.4_3_36_corrected_H_0001_T41,0.158,12.519,6.93,0.173
complex.4_3_7_corrected_H_0001_T41,0.105,18.687,5.626,0.114
complex.4_4_23_corrected_H_0001_T41,0.193,12.504,5.044,0.197
complex.4_4_28_corrected_H_0001_T41,0.298,14.76,3.62,0.231
complex.4_4_38_corrected_H_0001_T41,0.088,8.048,5.099,0.232
complex.4_5_11_corrected_H_0001_T41,0.193,9.331,4.827,0.245
complex.4_5_24_corrected_H_0001_T41,0.281,8.886,3.965,0.295
complex.4_5_29_corrected_H_0001_T41,0.298,12.271,3.318,0.264
complex.4_5_2_corrected_H_0001_T41,0.246,10.354,5.492,0.239
complex.4_5_33_corrected_H_0001_T41,0.333,12.241,3.624,0.268
complex.4_5_34_corrected_H_0001_T41,0.158,8.567,4.721,0.249
complex.4_5_48_corrected_H_0001_T41,0.404,12.827,3.512,0.288
complex.4_6_1_corrected_H_0001_T41,0.316,9.585,3.838,0.296
complex.4_6_44_corrected_H_0001_T41,0.351,8.893,4.342,0.312
complex.4_6_46_corrected_H_0001_T41,0.298,8.365,3.09,0.332
complex.4_6_48_corrected_H_0001_T41,0.386,7.673,3.066,0.377
complex.4_6_4_corrected_H_0001_T41,0.368,7.667,2.917,0.376
complex.4_6_5_corrected_H_0001_T41,0.404,10.077,2.812,0.347
complex.4_7_11_corrected_H_0001_T41,0.246,5.306,3.141,0.384
complex.4_7_12_corrected_H_0001_T41,0.351,6.612,2.439,0.416
complex.4_7_29_corrected_H_0001_T41,0.333,7.101,3.545,0.358
complex.4_7_30_corrected_H_0001_T41,0.333,9.306,3.085,0.326
complex.4_7_41_corrected_H_0001_T41,0.316,7.818,2.779,0.361
complex.4_7_44_corrected_H_0001_T41,0.298,9.864,3.019,0.307
complex.4_7_8_corrected_H_0001_T41,0.526,7.631,2.24,0.463
complex.4_8_22_corrected_H_0001_T41,0.351,7.221,3.278,0.368
complex.4_8_32_corrected_H_0001_T41,0.246,6.371,2.936,0.364
complex.4_9_16_corrected_H_0001_T41,0.333,5.735,2.328,0.438
complex.4_9_24_corrected_H_0001_T41,0.386,6.664,2.123,0.446
complex.4_9_27_corrected_H_0001_T41,0.509,7.624,2.046,0.471
complex.4_9_28_corrected_H_0001_T41,0.614,5.313,1.56,0.605
complex.4_9_3_corrected_H_0001_T41,0.281,8.143,2.806,0.341
complex.4_9_40_corrected_H_0001_T41,0.491,4.371,2.326,0.525
complex.4_9_47_corrected_H_0001_T41,0.491,3.204,1.5,0.622
complex.4_9_4_corrected_H_0001_T41,0.351,6.911,2.346,0.414
complex.5_0_10_corrected_H_0001_T41,0.0,49.34,15.411,0.013
complex.5_0_16_corrected_H_0001_T41,0.0,26.335,7.497,0.044
complex.5_0_20_corrected_H_0001_T41,0.0,43.082,12.733,0.017
complex.5_0_26_corrected_H_0001_T41,0.018,30.308,13.86,0.034
complex.5_0_34_corrected_H_0001_T41,0.0,41.429,11.198,0.019
complex.5_0_36_corrected_H_0001_T41,0.035,29.789,8.467,0.047
complex.5_0_40_corrected_H_0001_T41,0.0,52.572,12.649,0.013
complex.5_0_43_corrected_H_0001_T41,0.0,51.78,12.708,0.013
complex.5_10_16_corrected_H_0001_T41,0.667,5.524,1.572,0.615
complex.5_10_17_corrected_H_0001_T41,0.561,7.794,2.074,0.483
complex.5_10_23_corrected_H_0001_T41,0.719,3.058,1.078,0.755
complex.5_10_40_corrected_H_0001_T41,0.614,7.124,2.081,0.514
complex.5_12_47_corrected_H_0001_T41,0.912,1.997,0.956,0.857
complex.5_13_15_corrected_H_0001_T41,0.526,2.573,1.182,0.686
complex.5_13_20_corrected_H_0001_T41,0.667,4.784,1.422,0.651
complex.5_13_29_corrected_H_0001_T41,0.667,5.499,1.428,0.632
complex.5_13_35_corrected_H_0001_T41,0.93,1.926,0.987,0.86
complex.5_13_42_corrected_H_0001_T41,0.877,1.301,0.701,0.892
complex.5_13_43_corrected_H_0001_T41,0.737,4.023,1.117,0.732
complex.5_13_4_corrected_H_0001_T41,0.842,3.375,0.974,0.803
complex.5_13_7_corrected_H_0001_T41,0.632,5.298,1.662,0.6
complex.5_14_12_corrected_H_0001_T41,0.895,2.344,0.911,0.852
complex.5_14_33_corrected_H_0001_T41,0.895,1.527,0.812,0.879
complex.5_14_36_corrected_H_0001_T41,0.877,2.136,0.963,0.842
complex.5_14_40_corrected_H_0001_T41,0.877,2.351,0.705,0.875
complex.5_14_6_corrected_H_0001_T41,0.684,4.062,1.089,0.718
complex.5_15_22_corrected_H_0001_T41,0.842,2.318,0.642,0.873
complex.5_15_36_corrected_H_0001_T41,0.754,5.423,1.295,0.679
complex.5_15_47_corrected_H_0001_T41,0.947,1.881,0.736,0.902
complex.5_15_8_corrected_H_0001_T41,0.912,1.921,0.978,0.855
complex.5_16_17_corrected_H_0001_T41,0.825,2.432,0.667,0.861
complex.5_16_19_corrected_H_0001_T41,0.982,0.951,0.473,0.96
complex.5_17_47_corrected_H_0001_T41,0.912,1.241,0.526,0.927
complex.5_18_22_corrected_H_0001_T41,0.86,0.959,0.567,0.907
complex.5_18_24_corrected_H_0001_T41,0.965,0.927,0.504,0.951
complex.5_18_34_corrected_H_0001_T41,0.965,1.723,0.713,0.914
complex.5_18_36_corrected_H_0001_T41,0.965,1.028,0.626,0.934
complex.5_18_3_corrected_H_0001_T41,0.965,0.611,0.405,0.964
complex.5_18_41_corrected_H_0001_T41,0.965,1.632,0.546,0.937
complex.5_18_45_corrected_H_0001_T41,0.947,0.58,0.433,0.955
complex.5_19_3_corrected_H_0001_T41,0.982,0.463,0.447,0.966
complex.5_1_12_corrected_H_0001_T41,0.0,21.178,6.917,0.061
complex.5_1_5_corrected_H_0001_T41,0.053,29.219,11.465,0.049
